Timestamp, Field, Value
2015-11-20T15:53:57.522Z, NEOPI.145, "2"
2015-11-20T15:54:02.550Z, NEOPI.146, "4"
2015-11-20T15:54:06.138Z, NEOPI.147, "1"
2015-11-20T15:54:16.025Z, NEOPI.148, "1"
2015-11-20T15:54:20.247Z, NEOPI.149, "3"
2015-11-20T15:54:27.053Z, NEOPI.150, "3"
2015-11-20T15:54:32.159Z, NEOPI.151, "1"
2015-11-20T15:54:37.181Z, NEOPI.152, "2"
2015-11-20T15:54:50.679Z, NEOPI.153, "2"
2015-11-20T15:54:55.433Z, NEOPI.154, "3"
2015-11-20T15:55:00.272Z, NEOPI.155, "2"
2015-11-20T15:55:14.588Z, NEOPI.156, "2"
2015-11-20T15:55:27.566Z, NEOPI.157, "2"
2015-11-20T15:55:32.522Z, NEOPI.158, "3"
2015-11-20T15:55:57.900Z, NEOPI.159, "3"
2015-11-20T15:56:04.523Z, NEOPI.160, "3"
2015-11-20T15:56:05.366Z, Balance.NEOPI.Page.7, "True"
2015-11-20T15:56:12.329Z, NEOPI.161, "2"
2015-11-20T15:56:23.510Z, NEOPI.162, "2"
2015-11-20T15:56:32.670Z, NEOPI.163, "1"
2015-11-20T15:56:39.243Z, NEOPI.164, "2"
2015-11-20T15:56:48.136Z, NEOPI.165, "4"
2015-11-20T15:57:08.991Z, NEOPI.166, "3"
2015-11-20T15:57:13.045Z, NEOPI.167, "3"
2015-11-20T15:57:16.983Z, NEOPI.168, "4"
2015-11-20T15:57:21.204Z, NEOPI.169, "3"
2015-11-20T15:57:24.858Z, NEOPI.170, "2"
2015-11-20T15:57:45.196Z, NEOPI.171, "2"
2015-11-20T15:57:49.001Z, NEOPI.172, "3"
2015-11-20T15:57:58.294Z, NEOPI.173, "0"
2015-11-20T15:58:01.648Z, NEOPI.174, "2"
2015-11-20T15:58:07.120Z, NEOPI.175, "1"
2015-11-20T15:58:15.450Z, NEOPI.176, "3"
2015-11-20T15:58:21.585Z, NEOPI.177, "3"
2015-11-20T15:58:26.553Z, NEOPI.178, "3"
2015-11-20T15:58:31.975Z, NEOPI.179, "3"
2015-11-20T15:58:36.500Z, NEOPI.180, "3"
2015-11-20T15:58:37.555Z, Balance.NEOPI.Page.8, "True"
2015-11-20T15:58:43.257Z, NEOPI.181, "3"
2015-11-20T15:58:45.970Z, NEOPI.182, "3"
2015-11-20T15:58:52.635Z, NEOPI.183, "0"
2015-11-20T15:58:59.775Z, NEOPI.184, "2"
2015-11-20T15:59:10.079Z, NEOPI.186, "2"
2015-11-20T15:59:10.855Z, NEOPI.185, "3"
2015-11-20T15:59:19.196Z, NEOPI.187, "1"
2015-11-20T15:59:22.115Z, NEOPI.188, "3"
2015-11-20T15:59:29.139Z, NEOPI.189, "2"
2015-11-20T15:59:47.993Z, NEOPI.190, "2"
2015-11-20T15:59:57.052Z, NEOPI.191, "1"
2015-11-20T16:00:02.875Z, NEOPI.192, "2"
2015-11-20T16:00:13.586Z, NEOPI.193, "3"
2015-11-20T16:00:17.441Z, NEOPI.194, "3"
2015-11-20T16:00:21.228Z, NEOPI.195, "3"
2015-11-20T16:00:27.301Z, NEOPI.196, "1"
2015-11-20T16:00:31.538Z, NEOPI.197, "3"
2015-11-20T16:00:42.824Z, NEOPI.198, "2"
2015-11-20T16:00:55.281Z, NEOPI.199, "2"
2015-11-20T16:01:01.070Z, NEOPI.200, "4"
2015-11-20T16:01:02.343Z, Balance.NEOPI.Page.9, "True"
2015-11-20T16:01:19.522Z, NEOPI.201, "3"
2015-11-20T16:01:21.760Z, NEOPI.202, "3"
2015-11-20T16:01:29.551Z, NEOPI.203, "4"
2015-11-20T16:01:35.206Z, NEOPI.204, "3"
2015-11-20T16:01:40.045Z, NEOPI.205, "3"
2015-11-20T16:01:45.149Z, NEOPI.206, "3"
2015-11-20T16:01:52.675Z, NEOPI.207, "1"
2015-11-20T16:02:00.917Z, NEOPI.208, "0"
2015-11-20T16:02:12.045Z, NEOPI.209, "3"
2015-11-20T16:02:18.471Z, NEOPI.210, "1"
2015-11-20T16:02:22.939Z, NEOPI.211, "2"
2015-11-20T16:02:36.584Z, NEOPI.212, "4"
2015-11-20T16:02:40.792Z, NEOPI.213, "2"
2015-11-20T16:03:02.882Z, NEOPI.214, "2"
2015-11-20T16:03:06.670Z, NEOPI.215, "3"
2015-11-20T16:03:09.771Z, NEOPI.216, "3"
2015-11-20T16:03:18.816Z, NEOPI.217, "1"
